address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count 
GCKTCPCLPDRC3GJLT67HC6QWRTBKMOKDBAICJ6WZSQ5BIFHJQY3FZENH,300,300,300,0,0,0,2,2
GA7G5YMPXGHJE7I6VWOQQ7FCJ3AVS7XN5OLT6XYB3UUA7WIP4OQ4U37W,299.59,482.00,391.00,91,0.41,2,2,4
GAVNUVD6RCFP7HQOLUXEXFHDMLMIDL4HRF7XDD6Y6WLQKFLR37MDBEC7,299.55,498,399,99,0.45,4,4,8
GDHB2A5FGT7ZD6LWZPYDE2TSU3X4OJ5B6UCZYNGJRCD4VDLT6UNGJS56,299.55,500,400,100,0.45,1,3,4
GB7XS56W4AJ3HHKOX4TSEQCQ2ZMHQSEYS6IYLQATH4QKEGVDL2KMXOBQ,299,299,299,0,0,0,2,2
GBBK7MGOGNWXMR65HN5AGV5KZN7IS25EHLX7UUVZVYQCD3PXTMHLFBWK,280,155120,77700,77420,0,280,282,562
GCE7K22RUSQ47QRQPIV4N2IZI33DIRWAV2RARIFFYEODO7HXOUQIJT7T,265,131335,65800,65535,0,265,265,530
GB55CGKHPDINPIID7PMDDHYB6LDGJQ7LLN4YSZL4WNYEV6PEKBBVA2YV,262,57138,28700,28438,0,262,262,524
GCPP5GNNP63HJLRC45D4AJ7T6QTJIEJUEG3UHYKM3RF5343GZIY7JUBO,261,265339,132800,132539,0,261,261,522
GC22K5MZTCWOQVB5B5DR5ZSIZ4P3ZOS3KCK256F3TYJL643UDW4TXQHJ,257,1354807,677532,677275,0,258,260,518
GDLVFWEKW5SXAC7RDV4DVGGYYJAWWAZVZLTYIG5ZOQ4CHDGUWFY473DQ,254.5,920,588,332,1.5,4,2,6
GDEYJZ33T3EGHUSS6YB6MODS66KX7BVESEPPZZLNAAWJESDF326FL7S7,231,268973,134602,134371,0,268,270,538
GDMVKVPGBL5TMMIV6JJDN2EDO5ZNPK47X6BPMVXMBP6PPATWNG7HRBGU,230,230,230,0,0,1,13,14
GAOO5KJRQJN2ONWU3SKCEVMMGJ4WYF7YAZSGROTEUQQL5MNIOUE3ZDVW,221,221,221,0,0,0,2,2
GA57BFGT5NHEBALCBDVUE3OROK6QPKVJVGSG7S46SKHWYFHG4B3QGMGB,202.04,4189,2200,1989,8.96,11,11,22
GATDJ7WEWXPWFN7YYJWZETJE5RG7QTLQA4JXVIUJGQ5LSCRMAFSBYYNU,200.64,361,281,80,0.36,5,5,10
GD6YUQUS5QZHKZ7CWZ3U3ZSSX7DLEEQG54SSU6ASJMJTDT3QQWOUEGLK,200.55,399,300,99,0.45,1,3,4
GAM5RLGKTGGBPOHXRBZJTMBPSSWMBCEUNZROS4GRZYQXMVFOAOXCQHQK,200.55,399,300,99,0.45,1,2,3
GACL5JUNDLJ276GINQEWLGGGJE2N2LBIJEBIPPHLTJIJMO5QLGRGEXOC,200.31,1397,800,597,2.69,3,4,7
GDIA2QDTCYOTVRLLJLXBIK7VGIGQ7JW3UAACWRLSKIXXFETUQBWFQ6P7,200,200,200,0,0,0,2,2
GCDMHR7EJSQLYZGULVMBPF5XUGBLP3SZ4ZO6A5JNF7QJNCWXNBJIU5CP,200,200,200,0,0,0,2,2
GB2X4AW7FSUXPEFO2SJ7XZA6OM3CISM6TRZJH4LTS63DA34SC6KEVVUX,200,200,200,0,0,0,2,2
GC2YCBXQCOWKJO7WFK6VQE7NNFF3II5YPVPPBYHCEWMGMUS74JLFQRES,200,200,200,0,0,0,1,1
GD2VWO3I5RJIAIPCQEMHMUSWL4WVMZD4Z7LUAUSZIHEBMG6YXCAVMVKL,200,200,200,0,0,0,2,2
GDP7TN7QZ6D2KBXN7JNDO5NLSUQHXGJDSV3WINU5UKREOZ45QCWIV474,200,200,200,0,0,0,1,1
GBOYIZKWZKSKVXEJTX7NWS4B36YPDGFKEB46GQ3RPFSHKKKNBX64GAVE,200,200,200,0,0,0,2,2
GAKVG33MJUPNFHBUQVWAUX3T2OSY43L4RAGQ5LLCZ3UZ3KQQCHWIVZCS,200,200,200,0,0,0,2,2
GDVDBLEGKMI6KUBS4TD5X7TYB456IWW2ZIUUWEQIQO4G4W2FC2SBH2JO,200,200,200,0,0,0,2,2
GDRXJHKWCHCEQR6P5S5PVUO5GULYFZC7U3GNCRSB5ZAZZFW25M6BX3GU,200,200,200,0,0,0,2,2
GDWS4DRJ4XJV57N3NYDF4KVSIWC72D267LV3RT2IAAVZSCAF27NTITLC,200,200,200,0,0,0,1,1
GCLNKOJURXAEXZSGO6HVYJVS7DRGX722RFVBU43FWDKKRBW3XSW4NKXZ,199,199,199,0,0,0,4,4
GBYJDNBXZJVXFUVTO6HXLC3XR3YBPFNM3MUYTYZMO4CLDSVWG6YKHQBA,199,"133,801.00",67000,66801,0,199,199,398
GCXBROOWVUUDOUNGK3HXUWMLDTHEVI5DQEQZ2JKWOP6RM65Q32YF2FSR,199,199,199,0,0,0,2,2
GDALPXOEXORCC3ND6Z2Q3WEYUYGJDZN657XU36VB4NX2OGPTGVIK5EJV,198,198,198,0,0,1,5,6
GC5WKM6HULAPWPGDEGHHQABKRCPCVJTKMVCEAXBUKNRH47LDA4DES2UK,198,198,198,0,0,0,5,5
GCNQBOXSNFWWN3WJ7V4PEUNWNFJT424Z73D3MMFAWGG4BNVT54MEXCS3,197.99,200,199,1,0.01,1,4,5
GC4BP2N3YF2VTZ4VDT2N5BZUWDJRFCUJS2HBMF2XLGCVK2WOCNR45IPG,197.99,202,200,2,0.01,2,1,3
GCVIOPFWM4NAUKFPZIGJQDXR3DV64EWRNR45CERFDD6KMSSVXDQ7RH4C,197.14,578,388,190,0.86,2,3,5
GCUEPTINCQKYWCAET43R754YUBQCB654IEEQNW3SZ6QHFQPGZVKFWA35,187,236413,118300,118113,0,187,191,378
