address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count 
GCNQBOXSNFWWN3WJ7V4PEUNWNFJT424Z73D3MMFAWGG4BNVT54MEXCS3, 900.38 ," 1,904.64 "," 1,403.64 ", 501.00 , 2.25 , 5 , 5 , 10 
GCLNKOJURXAEXZSGO6HVYJVS7DRGX722RFVBU43FWDKKRBW3XSW4NKXZ, 900.17 ," 1,898.01 "," 1,400.21 ", 497.80 , 2.24 , 2 , 5 , 7 
GDQLZNDJ4QWY3BY45UIT757QXWIGS4NFODBA3XLGJ3HORI272JBAKOW6, 898.91 ," 2,578.93 "," 1,740.81 ", 838.12 , 3.77 , 1 , 6 , 7 
GAAEXODE6OKY2GSB3PZ6YXIFQNAZ6CQKH5FN22EALGOOEPHO5FVB4XEK, 858.66 , 858.66 , 858.66 , -   , -   , -   , 5 , 5 
GB7XVUPWBEWHZLJORUACNOJD22SHCQVCVPOEU6EFLIDAD74BMR6ZVQUZ, 812.61 , 812.61 , 812.61 , -   , -   , -   , 2 , 2 
GBG2QITA5CIUXXZ2NRVX3BU3JVKQVUTV55YE44MTBASQUDTGOEHW626C, 800.10 ," 1,199.00 "," 1,000.00 ", 199.00 , 0.90 , 3 , 5 , 8 
GAOC45H7JIMPIQCAE32LQKRMGIJAKW5CCPMCJEE2BWVDNXV4EUXQZZNU, 800.00 , 800.00 , 800.00 , -   , -   , -   , 4 , 4 
GBV4C7T7GS7THO4IPPM3YGBAS443II3HGV3AG3YFEOFBNTOCZF3W7NOP, 800.00 , 800.00 , 800.00 , -   , -   , -   , 3 , 3 
GA6FWFBP6DJOUAQGIKBGMXN5SIPBBPJLUBXOS7W2OUS6S247NWSUVZQH, 800.00 , 800.00 , 800.00 , -   , -   , -   , 2 , 2 
GCKTCPCLPDRC3GJLT67HC6QWRTBKMOKDBAICJ6WZSQ5BIFHJQY3FZENH, 800.00 , 800.00 , 800.00 , -   , -   , -   , 2 , 2 
GDPWTISLN7A5MMRNZ7ZV4DQSGTJ2DC3MM7WOSAXTQ5I3IVNKRAMHEMRC, 800.00 , 800.00 , 800.00 , -   , -   , -   , 1 , 1 
GAB3GJE2LD6M5POUPVDS2AH3A57ABDETM4IOKXIINUZQNARGAEOIKFDK, 800.00 , 800.00 , 800.00 , -   , -   , -   , 4 , 4 
GDMVKVPGBL5TMMIV6JJDN2EDO5ZNPK47X6BPMVXMBP6PPATWNG7HRBGU, 780.47 , 780.51 , 780.49 , 0.02 , 0.00 , 1 , 12 , 13 
GBDFSBDHONGXHEQEJ2NAJOAYEXKDAZNYQRHQMBO3LS3LV2BN4UITWFR3, 675.00 , 675.00 , 675.00 , -   , -   , -   , 1 , 1 
GBOVMGOT3UJYA3DCZT27TS3YYHRMKRQ3S4WQPQEBJI37TVFVDNE5ISDW, 631.79 , 767.90 , 700.00 , 67.90 , 0.31 , 2 , 1 , 3 
GDCUPJHO7ZL2OAJRXLRANANMJA4QOUD5VWCUO55NX2EVR6U7556YUSFQ, 624.91 , 624.91 , 624.91 , -   , -   , -   , 8 , 8 
