address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count ,
GBV4C7T7GS7THO4IPPM3YGBAS443II3HGV3AG3YFEOFBNTOCZF3W7NOP, 500.00 , 500 , 500.00 , -   , -   , -   , 4 , 4 ,
GAVNUVD6RCFP7HQOLUXEXFHDMLMIDL4HRF7XDD6Y6WLQKFLR37MDBEC7, 499.57 , 699 , 599.55 , 99.53 , 0.45 , 4 , 5 , 9 ,
GDO4MFC466XW2G3XHCJQHYJABBNVFNIKL5XDLAHFOTT2V4KP4UOTISRC, 496.69 ," 2,093 "," 1,296.46 ", 796.18 , 3.58 , 3 , 5 , 8 ,
GALL3JBQWWDHG72MMYB3SJ6K5BPAEA7B6RYYWJVFVHLBEJCA3XZ2DK72, 488.76 ," 1,709 "," 1,100.00 ", 608.50 , 2.74 , 4 , 2 , 6 ,
GACFL57NZDA6Y4PQEJLQZUQTZHUWIYIVDZOSI6EFIYII2C5HLEOTIARY, 480.14 , 484 , 482.05 , 1.90 , 0.01 , 1 , 4 , 5 ,
GCIVAP4NWKH4VPP4YXZJSIZLJU4UHXJJ5IYNQLRYIFDFPORQRDWGASA3, 477.58 , 740 , 609.07 , 130.90 , 0.59 , 1 , 4 , 5 ,
GB6ZZMIBRO6RQVOCPABHNVEURN3H6VINUB2MTKZV2BJVWP5WFDBWED54, 434.32 ," 97,114 "," 48,882.74 "," 48,231.38 ", 217.04 , 128 , 50 , 178 ,
GAGYLFQE5HHWU6LSPRS3CHAA7XYGMC7APCMYVAVMWQPYVI6CZXZK63KK, 424.44 ," 16,640 "," 8,550.36 "," 8,089.51 ", 36.41 , 10 , 13 , 23 ,
GDPTKQRR6NOLDE5GOLEIAABNMRVWPIYVQ5GH2QLMSN2MZEJ2XQ3SHPUR, 411.00 , 411 , 411.00 , -   , -   , -   , 3 , 3 ,
GAKEFYDYHRN7H7XWI2TGJKHXPDACFYJJETFACH6UDU3LJH6D2VAVAMYV, 404.50 , 405 , 404.50 , -   , -   , -   , 2 , 2 ,
GCPFLPTE3YJAWCQKANX5HZPHB6A2ZA53GY52XB3AF2C2QWHC6PXVUXRF, 404.43 , 404 , 404.43 , -   , -   , -   , 2 , 2 ,
GA3J34NHH2NG6OVV7GBGMI7N4ILTO2M4OXRC5VAMMG3UIGSIZ5352MRS, 400.00 , 400 , 400.00 , -   , -   , -   , 2 , 2 ,
GBQLYIDQEQMZVQMX2BGE2WSIXS3CQRTE5TIFG5H72TJAVLH352X3FKXS, 398.21 , 398 , 398.21 , -   , -   , -   , 4 , 4 ,
GAVY4CJW5MUTESUCFXRHU3ZPZYZCY2K6OCRIZQGXJRTKPMUATE5OBU7U, 397.53 ," 6,411 "," 3,411.04 "," 3,000.00 ", 13.50 , 1 , 3 , 4 ,
GD25QXELKNHXMHFOIEH3WM5BGQP3TYDP55LEBBHXI2OOSEA7XLHGOMQA, 396.41 , 396 , 396.41 , -   , -   , -   , 2 , 2 ,
GAM2UCPC6XTHV7A527B5UEOIGBSAX4JZDERSJ6JDM7QWFZ7BWXR6SANB, 394.62 , 395 , 394.64 , 0.02 , 0.00 , 1 , 2 , 3 ,
GA2MDTJAHI6OEO7S4ELJDESDEF53WYTOGTY6FYDGDCOVQSIZ3YEIEISH, 390.30 , 463 , 426.76 , 36.30 , 0.16 , 1 , 3 , 4 ,
GCOC5G7ROYYP6FB5DDPISXPLHOAEDHQVTWGPHQN6L4QTJLL7R4NI5TK5, 390.06 , 463 , 426.56 , 36.34 , 0.16 , 1 , 3 , 4 ,
GAKMNLYNXQZ4NRZWZHHB3OFW4SVBQE4JFHNKI2JMVCMLGNTXTWKZP66Q, 359.56 , 877 , 618.72 , 258.00 , 1.16 , 6 , 3 , 9 ,
GB2C7H3SJTXL3UY5UIWXDIRTUBG4I2325BKNH3XOHLTIL2PWSAO6PBP2, 349.79 , 424 , 386.96 , 37.00 , 0.17 , 1 , 4 , 5 ,
GAHR6BEVEXKOSTCRK6UNUIBR6SOUEAQGFIVIFSB7WDFJUU3JNTO6W64V, 348.19 ," 7,835 "," 4,100.00 "," 3,735.00 ", 16.81 , 7 , 2 , 9 ,
GDV7JMURBY4UGQDWUPDYWXZ2YPIMSKCMUZO5KWYCY7BYEJC7ISYBRZ3N, 335.98 , 336 , 335.98 , -   , -   , -   , 3 , 3 ,
GD44HM5DXR7YV6667QSVAFYB7C5HQLQKEU4VORHBU657ZYHSZKDPGVRJ, 310.00 , 310 , 310.00 , -   , -   , -   , 3 , 3 ,
GAWCOJBSETXKKCXOYP6Y5FL3VNVHJNK5K3R565XQZATNC3Z6HAKHAGWC, 302.08 , 302 , 302.08 , -   , -   , -   , 2 , 2 ,
GADK4APBRFNLCGCZ6J2VHTSGX56VBLBT5CATBOZZIVGSYNPOGKRSJLMB, 301.00 , 301 , 301.00 , -   , -   , -   , 2 , 2 ,
GCHQQVXXFPGLJPYMOSWDBGVJ7A6O7EZGCF4RBH3D77AWOLQ2THUONNDH, 300.12 ," 2,695 "," 1,500.00 "," 1,194.50 ", 5.38 , 11 , 9 , 20 ,
GDIA2QDTCYOTVRLLJLXBIK7VGIGQ7JW3UAACWRLSKIXXFETUQBWFQ6P7, 300.00 , 300 , 300.00 , -   , -   , -   , 3 , 3 ,
GANPBBU5MQ3PTAKCXGTMUWC2MDU4XXR6FLI4IHHT47HN5VZKHXG62SHI, 300.00 , 300 , 300.00 , -   , -   , -   , 1 , 1 ,
